indice_global,indice_estricto,título,director,año,duración,género,rating,metascore,recaudación(M)
335,134,Chhichhore,Nitesh Tiwari,2019,143,Comedia,8.3,0,0.9
336,134,Chhichhore,Nitesh Tiwari,2019,143,Drama,8.3,0,0.9
337,134,Chhichhore,Nitesh Tiwari,2019,143,Romance,8.3,0,0.9
338,135,The Kid,Charles Chaplin,1921,68,Comedia,8.3,0,5.45
339,135,The Kid,Charles Chaplin,1921,68,Drama,8.3,0,5.45
340,135,The Kid,Charles Chaplin,1921,68,Familiar,8.3,0,5.45
341,136,Shershaah,Vishnuvardhan,2021,135,Acción,8.3,0,0.0
342,136,Shershaah,Vishnuvardhan,2021,135,Biografía,8.3,0,0.0
343,136,Shershaah,Vishnuvardhan,2021,135,Drama,8.3,0,0.0
344,137,Raatchasan,Ram Kumar,2018,170,Acción,8.3,0,0.0
345,137,Raatchasan,Ram Kumar,2018,170,Crimen,8.3,0,0.0
346,137,Raatchasan,Ram Kumar,2018,170,Drama,8.3,0,0.0
347,138,Drishyam,Jeethu Joseph,2013,160,Crimen,8.3,0,0.0
348,138,Drishyam,Jeethu Joseph,2013,160,Drama,8.3,0,0.0
349,138,Drishyam,Jeethu Joseph,2013,160,Thriller,8.3,0,0.0
350,139,Guardians of the Galaxy Vol. 3,James Gunn,2023,150,Acción,8.2,64,0.0
351,139,Guardians of the Galaxy Vol. 3,James Gunn,2023,150,Aventura,8.2,64,0.0
352,139,Guardians of the Galaxy Vol. 3,James Gunn,2023,150,Comedia,8.2,64,0.0
353,140,Indiana Jones and the Last Crusade,Steven Spielberg,1989,127,Acción,8.2,65,197.17
354,140,Indiana Jones and the Last Crusade,Steven Spielberg,1989,127,Aventura,8.2,65,197.17
355,141,The Wolf of Wall Street,Martin Scorsese,2013,180,Biografía,8.2,75,116.9
356,141,The Wolf of Wall Street,Martin Scorsese,2013,180,Comedia,8.2,75,116.9
357,141,The Wolf of Wall Street,Martin Scorsese,2013,180,Crimen,8.2,75,116.9
358,142,Spider-Man: No Way Home,Jon Watts,2021,148,Acción,8.2,71,804.75
359,142,Spider-Man: No Way Home,Jon Watts,2021,148,Aventura,8.2,71,804.75
360,142,Spider-Man: No Way Home,Jon Watts,2021,148,Fantasía,8.2,71,804.75
361,143,There Will Be Blood,Paul Thomas Anderson,2007,158,Drama,8.2,93,40.22
362,144,Jurassic Park,Steven Spielberg,1993,127,Acción,8.2,68,402.45
363,144,Jurassic Park,Steven Spielberg,1993,127,Aventura,8.2,68,402.45
364,144,Jurassic Park,Steven Spielberg,1993,127,Ciencia Ficción,8.2,68,402.45
365,145,Shutter Island,Martin Scorsese,2010,138,Misterio,8.2,63,128.01
366,145,Shutter Island,Martin Scorsese,2010,138,Thriller,8.2,63,128.01
367,146,No Country for Old Men,Ethan Coen,2007,122,Crimen,8.2,92,74.28
368,146,No Country for Old Men,Ethan Coen,2007,122,Drama,8.2,92,74.28
369,146,No Country for Old Men,Ethan Coen,2007,122,Thriller,8.2,92,74.28
370,147,The Thing,John Carpenter,1982,109,Terror,8.2,57,13.78
371,147,The Thing,John Carpenter,1982,109,Misterio,8.2,57,13.78
372,147,The Thing,John Carpenter,1982,109,Ciencia Ficción,8.2,57,13.78
373,148,Batman Begins,Christopher Nolan,2005,140,Acción,8.2,70,206.85
374,148,Batman Begins,Christopher Nolan,2005,140,Crimen,8.2,70,206.85
375,148,Batman Begins,Christopher Nolan,2005,140,Drama,8.2,70,206.85
376,149,Taxi Driver,Martin Scorsese,1976,114,Crimen,8.2,94,28.26
377,149,Taxi Driver,Martin Scorsese,1976,114,Drama,8.2,94,28.26
378,150,1917,Sam Mendes,2019,119,Acción,8.2,78,159.23
379,150,1917,Sam Mendes,2019,119,Drama,8.2,78,159.23
380,150,1917,Sam Mendes,2019,119,Guerra,8.2,78,159.23
381,151,Casino,Martin Scorsese,1995,178,Crimen,8.2,73,42.44
382,151,Casino,Martin Scorsese,1995,178,Drama,8.2,73,42.44
383,152,Snatch,Guy Ritchie,2000,102,Comedia,8.2,55,30.33
384,152,Snatch,Guy Ritchie,2000,102,Crimen,8.2,55,30.33
385,153,Howl's Moving Castle,Hayao Miyazaki,2004,119,Animación,8.2,82,4.71
386,153,Howl's Moving Castle,Hayao Miyazaki,2004,119,Aventura,8.2,82,4.71
387,153,Howl's Moving Castle,Hayao Miyazaki,2004,119,Familiar,8.2,82,4.71
388,154,Unforgiven,Clint Eastwood,1992,130,Drama,8.2,85,101.16
389,154,Unforgiven,Clint Eastwood,1992,130,Western,8.2,85,101.16
390,155,The Truman Show,Peter Weir,1998,103,Comedia,8.2,90,125.62
391,155,The Truman Show,Peter Weir,1998,103,Drama,8.2,90,125.62
392,156,Green Book,Peter Farrelly,2018,130,Biografía,8.2,69,85.08
393,156,Green Book,Peter Farrelly,2018,130,Comedia,8.2,69,85.08
394,156,Green Book,Peter Farrelly,2018,130,Drama,8.2,69,85.08
395,157,Kill Bill: Vol. 1,Quentin Tarantino,2003,111,Acción,8.2,69,70.1
396,157,Kill Bill: Vol. 1,Quentin Tarantino,2003,111,Crimen,8.2,69,70.1
397,157,Kill Bill: Vol. 1,Quentin Tarantino,2003,111,Thriller,8.2,69,70.1
398,158,L.A. Confidential,Curtis Hanson,1997,138,Crimen,8.2,91,64.62
399,158,L.A. Confidential,Curtis Hanson,1997,138,Drama,8.2,91,64.62
400,158,L.A. Confidential,Curtis Hanson,1997,138,Misterio,8.2,91,64.62
401,159,The Sixth Sense,M. Night Shyamalan,1999,107,Drama,8.2,64,293.51
402,159,The Sixth Sense,M. Night Shyamalan,1999,107,Misterio,8.2,64,293.51
403,159,The Sixth Sense,M. Night Shyamalan,1999,107,Thriller,8.2,64,293.51
404,160,Finding Nemo,Andrew Stanton,2003,100,Animación,8.2,90,380.84
405,160,Finding Nemo,Andrew Stanton,2003,100,Aventura,8.2,90,380.84
406,160,Finding Nemo,Andrew Stanton,2003,100,Comedia,8.2,90,380.84
407,161,Die Hard,John McTiernan,1988,132,Acción,8.2,72,83.01
408,161,Die Hard,John McTiernan,1988,132,Thriller,8.2,72,83.01
409,162,A Beautiful Mind,Ron Howard,2001,135,Biografía,8.2,72,170.74
410,162,A Beautiful Mind,Ron Howard,2001,135,Drama,8.2,72,170.74
411,163,The Father,Florian Zeller,2020,97,Drama,8.2,88,0.0
412,163,The Father,Florian Zeller,2020,97,Misterio,8.2,88,0.0
413,164,Downfall,Oliver Hirschbiegel,2004,156,Biografía,8.2,82,5.51
414,164,Downfall,Oliver Hirschbiegel,2004,156,Drama,8.2,82,5.51
415,164,Downfall,Oliver Hirschbiegel,2004,156,Historia,8.2,82,5.51
416,165,Gone with the Wind,Victor Fleming,1939,238,Drama,8.2,97,198.68
417,165,Gone with the Wind,Victor Fleming,1939,238,Romance,8.2,97,198.68
418,165,Gone with the Wind,Victor Fleming,1939,238,Guerra,8.2,97,198.68
419,166,Chinatown,Roman Polanski,1974,130,Drama,8.2,92,8.49
420,166,Chinatown,Roman Polanski,1974,130,Misterio,8.2,92,8.49
421,166,Chinatown,Roman Polanski,1974,130,Thriller,8.2,92,8.49
422,167,V for Vendetta,James McTeigue,2005,132,Acción,8.2,62,70.51
423,167,V for Vendetta,James McTeigue,2005,132,Drama,8.2,62,70.51
424,167,V for Vendetta,James McTeigue,2005,132,Ciencia Ficción,8.2,62,70.51
425,168,Pan's Labyrinth,Guillermo del Toro,2006,118,Drama,8.2,98,37.63
426,168,Pan's Labyrinth,Guillermo del Toro,2006,118,Fantasía,8.2,98,37.63
427,168,Pan's Labyrinth,Guillermo del Toro,2006,118,Guerra,8.2,98,37.63
428,169,The Great Escape,John Sturges,1963,172,Aventura,8.2,86,12.1
429,169,The Great Escape,John Sturges,1963,172,Drama,8.2,86,12.1
430,169,The Great Escape,John Sturges,1963,172,Historia,8.2,86,12.1
431,170,Some Like It Hot,Billy Wilder,1959,121,Comedia,8.2,98,25.0
432,170,Some Like It Hot,Billy Wilder,1959,121,Musica,8.2,98,25.0
433,170,Some Like It Hot,Billy Wilder,1959,121,Romance,8.2,98,25.0
434,171,Monty Python and the Holy Grail,Terry Gilliam,1975,91,Aventura,8.2,91,1.23
435,171,Monty Python and the Holy Grail,Terry Gilliam,1975,91,Comedia,8.2,91,1.23
436,171,Monty Python and the Holy Grail,Terry Gilliam,1975,91,Fantasía,8.2,91,1.23
437,172,The Elephant Man,David Lynch,1980,124,Biografía,8.2,78,0.0
438,172,The Elephant Man,David Lynch,1980,124,Drama,8.2,78,0.0
439,173,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,2020,117,Animación,8.2,72,47.7
440,173,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,2020,117,Acción,8.2,72,47.7
441,173,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,2020,117,Aventura,8.2,72,47.7
442,174,The Secret in Their Eyes,Juan JosÃ© Campanella,2009,129,Drama,8.2,80,6.39
443,174,The Secret in Their Eyes,Juan JosÃ© Campanella,2009,129,Misterio,8.2,80,6.39
444,174,The Secret in Their Eyes,Juan JosÃ© Campanella,2009,129,Romance,8.2,80,6.39
445,175,For a Few Dollars More,Sergio Leone,1965,132,Drama,8.2,74,15.0
446,175,For a Few Dollars More,Sergio Leone,1965,132,Western,8.2,74,15.0
447,176,Ran,Akira Kurosawa,1985,162,Acción,8.2,97,4.14
448,176,Ran,Akira Kurosawa,1985,162,Drama,8.2,97,4.14
449,176,Ran,Akira Kurosawa,1985,162,Guerra,8.2,97,4.14
450,177,Klaus,Sergio Pablos,2019,96,Animación,8.2,65,0.0
451,177,Klaus,Sergio Pablos,2019,96,Aventura,8.2,65,0.0
452,177,Klaus,Sergio Pablos,2019,96,Comedia,8.2,65,0.0
453,178,Drishyam 2,Abhishek Pathak,2022,140,Crimen,8.2,0,0.0
454,178,Drishyam 2,Abhishek Pathak,2022,140,Drama,8.2,0,0.0
455,178,Drishyam 2,Abhishek Pathak,2022,140,Misterio,8.2,0,0.0
456,179,Dial M for Murder,Alfred Hitchcock,1954,105,Crimen,8.2,75,0.01
457,179,Dial M for Murder,Alfred Hitchcock,1954,105,Thriller,8.2,75,0.01
458,180,All About Eve,Joseph L. Mankiewicz,1950,138,Drama,8.2,98,0.01
459,181,Baahubali 2: The Conclusion,S.S. Rajamouli,2017,167,Acción,8.2,0,20.19
460,181,Baahubali 2: The Conclusion,S.S. Rajamouli,2017,167,Drama,8.2,0,20.19
461,182,Andhadhun,Sriram Raghavan,2018,139,Crimen,8.2,0,1.37
462,182,Andhadhun,Sriram Raghavan,2018,139,Misterio,8.2,0,1.37
463,182,Andhadhun,Sriram Raghavan,2018,139,Thriller,8.2,0,1.37
464,183,Gangs of Wasseypur,Anurag Kashyap,2012,321,Acción,8.2,89,0.0
465,183,Gangs of Wasseypur,Anurag Kashyap,2012,321,Comedia,8.2,89,0.0
466,183,Gangs of Wasseypur,Anurag Kashyap,2012,321,Crimen,8.2,89,0.0
467,184,Rashomon,Akira Kurosawa,1950,88,Crimen,8.2,98,0.1
468,184,Rashomon,Akira Kurosawa,1950,88,Drama,8.2,98,0.1
469,184,Rashomon,Akira Kurosawa,1950,88,Misterio,8.2,98,0.1
470,185,The Treasure of the Sierra Madre,John Huston,1948,126,Aventura,8.2,98,5.01
471,185,The Treasure of the Sierra Madre,John Huston,1948,126,Drama,8.2,98,5.01
472,185,The Treasure of the Sierra Madre,John Huston,1948,126,Western,8.2,98,5.01
473,186,Yojimbo,Akira Kurosawa,1961,110,Acción,8.2,93,0.0
474,186,Yojimbo,Akira Kurosawa,1961,110,Drama,8.2,93,0.0
475,186,Yojimbo,Akira Kurosawa,1961,110,Thriller,8.2,93,0.0
476,187,To Be or Not to Be,Ernst Lubitsch,1942,99,Comedia,8.2,86,0.0
477,187,To Be or Not to Be,Ernst Lubitsch,1942,99,Romance,8.2,86,0.0
478,187,To Be or Not to Be,Ernst Lubitsch,1942,99,Guerra,8.2,86,0.0
479,188,Drishyam,Nishikant Kamat,2015,163,Crimen,8.2,0,0.74
480,188,Drishyam,Nishikant Kamat,2015,163,Drama,8.2,0,0.74
481,188,Drishyam,Nishikant Kamat,2015,163,Misterio,8.2,0,0.74
482,189,Tumbbad,Rahi Anil Barve,2018,104,Drama,8.2,0,0.0
483,189,Tumbbad,Rahi Anil Barve,2018,104,Fantasía,8.2,0,0.0
484,189,Tumbbad,Rahi Anil Barve,2018,104,Terror,8.2,0,0.0
485,190,Zindagi Na Milegi Dobara,Zoya Akhtar,2011,155,Comedia,8.2,0,3.11
486,190,Zindagi Na Milegi Dobara,Zoya Akhtar,2011,155,Drama,8.2,0,3.11
487,190,Zindagi Na Milegi Dobara,Zoya Akhtar,2011,155,Musical,8.2,0,3.11
488,191,Miracle in Cell No. 7,Mehmet Ada Ã–ztekin,2019,132,Drama,8.2,0,0.0
489,192,Pather Panchali,Satyajit Ray,1955,125,Drama,8.2,0,0.54
490,193,Z,Costa-Gavras,1969,127,Crimen,8.2,86,0.08
491,193,Z,Costa-Gavras,1969,127,Drama,8.2,86,0.08
492,193,Z,Costa-Gavras,1969,127,Thriller,8.2,86,0.08
493,194,Tokyo Story,YasujirÃ´ Ozu,1953,136,Drama,8.2,100,0.0
494,195,Children of Heaven,Majid Majidi,1997,89,Drama,8.2,77,0.93
495,195,Children of Heaven,Majid Majidi,1997,89,Familiar,8.2,77,0.93
496,195,Children of Heaven,Majid Majidi,1997,89,Deportes,8.2,77,0.93
497,196,Uri: The Surgical Strike,Aditya Dhar,2019,138,Acción,8.2,0,4.19
498,196,Uri: The Surgical Strike,Aditya Dhar,2019,138,Drama,8.2,0,4.19
499,196,Uri: The Surgical Strike,Aditya Dhar,2019,138,Historia,8.2,0,4.19
500,197,Swades,Ashutosh Gowariker,2004,189,Drama,8.2,0,1.22
501,197,Swades,Ashutosh Gowariker,2004,189,Musical,8.2,0,1.22
502,198,The Wages of Fear,Henri-Georges Clouzot,1953,131,Aventura,8.2,85,0.0
503,198,The Wages of Fear,Henri-Georges Clouzot,1953,131,Drama,8.2,85,0.0
504,198,The Wages of Fear,Henri-Georges Clouzot,1953,131,Thriller,8.2,85,0.0
505,199,K.G.F: Chapter 1,Prashanth Neel,2018,156,Acción,8.2,0,0.0
506,199,K.G.F: Chapter 1,Prashanth Neel,2018,156,Crimen,8.2,0,0.0
507,199,K.G.F: Chapter 1,Prashanth Neel,2018,156,Drama,8.2,0,0.0
508,200,The Passion of Joan of Arc,Carl Theodor Dreyer,1928,114,Biografía,8.2,98,0.02
509,200,The Passion of Joan of Arc,Carl Theodor Dreyer,1928,114,Drama,8.2,98,0.02
510,200,The Passion of Joan of Arc,Carl Theodor Dreyer,1928,114,Historia,8.2,98,0.02
511,201,My Father and My Son,Ã‡agan Irmak,2005,112,Drama,8.2,0,0.0
512,201,My Father and My Son,Ã‡agan Irmak,2005,112,Familiar,8.2,0,0.0
513,202,Sherlock Jr.,Buster Keaton,1924,45,Acción,8.2,0,0.98
514,202,Sherlock Jr.,Buster Keaton,1924,45,Comedia,8.2,0,0.98
515,202,Sherlock Jr.,Buster Keaton,1924,45,Romance,8.2,0,0.98
516,203,Dersu Uzala,Akira Kurosawa,1975,142,Aventura,8.2,0,0.0
517,203,Dersu Uzala,Akira Kurosawa,1975,142,Biografía,8.2,0,0.0
518,203,Dersu Uzala,Akira Kurosawa,1975,142,Drama,8.2,0,0.0
519,204,Umberto D.,Vittorio De Sica,1952,89,Drama,8.2,92,0.07
520,205,Vikram Vedha,Gayatri,2017,147,Acción,8.2,0,0.0
521,205,Vikram Vedha,Gayatri,2017,147,Crimen,8.2,0,0.0
522,205,Vikram Vedha,Gayatri,2017,147,Drama,8.2,0,0.0
523,206,Paan Singh Tomar,Tigmanshu Dhulia,2012,135,Acción,8.2,0,0.04
524,206,Paan Singh Tomar,Tigmanshu Dhulia,2012,135,Biografía,8.2,0,0.04
525,206,Paan Singh Tomar,Tigmanshu Dhulia,2012,135,Crimen,8.2,0,0.04
526,207,Rangasthalam 1985,Sukumar,2018,170,Acción,8.2,0,3.51
527,207,Rangasthalam 1985,Sukumar,2018,170,Drama,8.2,0,3.51
528,208,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,2013,186,Biografía,8.2,0,1.63
529,208,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,2013,186,Drama,8.2,0,1.63
530,208,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,2013,186,Deportes,8.2,0,1.63
531,209,Jaws,Steven Spielberg,1975,124,Aventura,8.1,87,260.0
532,209,Jaws,Steven Spielberg,1975,124,Misterio,8.1,87,260.0
533,209,Jaws,Steven Spielberg,1975,124,Thriller,8.1,87,260.0
534,210,The Grand Budapest Hotel,Wes Anderson,2014,99,Aventura,8.1,88,59.1
535,210,The Grand Budapest Hotel,Wes Anderson,2014,99,Comedia,8.1,88,59.1
536,210,The Grand Budapest Hotel,Wes Anderson,2014,99,Crimen,8.1,88,59.1
537,211,Prisoners,Denis Villeneuve,2013,153,Crimen,8.1,70,61.0
538,211,Prisoners,Denis Villeneuve,2013,153,Drama,8.1,70,61.0
539,211,Prisoners,Denis Villeneuve,2013,153,Misterio,8.1,70,61.0
540,212,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003,143,Acción,8.1,63,305.41
541,212,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003,143,Aventura,8.1,63,305.41
542,212,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003,143,Fantasía,8.1,63,305.41
543,213,Blade Runner,Ridley Scott,1982,117,Acción,8.1,84,32.87
544,213,Blade Runner,Ridley Scott,1982,117,Drama,8.1,84,32.87
545,213,Blade Runner,Ridley Scott,1982,117,Ciencia Ficción,8.1,84,32.87
546,214,The Terminator,James Cameron,1984,107,Acción,8.1,84,38.4
547,214,The Terminator,James Cameron,1984,107,Ciencia Ficción,8.1,84,38.4
548,215,Mad Max: Fury Road,George Miller,2015,120,Acción,8.1,90,154.06
549,215,Mad Max: Fury Road,George Miller,2015,120,Aventura,8.1,90,154.06
550,215,Mad Max: Fury Road,George Miller,2015,120,Ciencia Ficción,8.1,90,154.06
551,216,Gone Girl,David Fincher,2014,149,Drama,8.1,79,167.77
552,216,Gone Girl,David Fincher,2014,149,Misterio,8.1,79,167.77
553,216,Gone Girl,David Fincher,2014,149,Thriller,8.1,79,167.77
554,217,Ford v Ferrari,James Mangold,2019,152,Acción,8.1,81,117.62
555,217,Ford v Ferrari,James Mangold,2019,152,Biografía,8.1,81,117.62
556,217,Ford v Ferrari,James Mangold,2019,152,Drama,8.1,81,117.62
557,218,The Help,Tate Taylor,2011,146,Drama,8.1,62,169.71
558,219,Logan,James Mangold,2017,137,Acción,8.1,77,226.28
559,219,Logan,James Mangold,2017,137,Drama,8.1,77,226.28
560,219,Logan,James Mangold,2017,137,Ciencia Ficción,8.1,77,226.28
561,220,Catch Me If You Can,Steven Spielberg,2002,141,Biografía,8.1,75,164.62
562,220,Catch Me If You Can,Steven Spielberg,2002,141,Crimen,8.1,75,164.62
563,220,Catch Me If You Can,Steven Spielberg,2002,141,Drama,8.1,75,164.62
564,221,The Big Lebowski,Joel Coen,1998,117,Comedia,8.1,71,17.5
565,221,The Big Lebowski,Joel Coen,1998,117,Crimen,8.1,71,17.5
566,222,Hacksaw Ridge,Mel Gibson,2016,139,Biografía,8.1,71,67.21
567,222,Hacksaw Ridge,Mel Gibson,2016,139,Drama,8.1,71,67.21
568,222,Hacksaw Ridge,Mel Gibson,2016,139,Historia,8.1,71,67.21
569,223,Stand by Me,Rob Reiner,1986,89,Aventura,8.1,75,52.29
570,223,Stand by Me,Rob Reiner,1986,89,Drama,8.1,75,52.29
571,224,Ratatouille,Brad Bird,2007,111,Animación,8.1,96,206.45
572,224,Ratatouille,Brad Bird,2007,111,Aventura,8.1,96,206.45
573,224,Ratatouille,Brad Bird,2007,111,Comedia,8.1,96,206.45
574,225,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,130,Aventura,8.1,85,381.01
575,225,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,130,Familiar,8.1,85,381.01
576,225,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,130,Fantasía,8.1,85,381.01
577,226,The Exorcist,William Friedkin,1973,122,Terror,8.1,81,232.91
578,227,Inside Out,Pete Docter,2015,95,Animación,8.1,94,356.46
579,227,Inside Out,Pete Docter,2015,95,Aventura,8.1,94,356.46
580,227,Inside Out,Pete Docter,2015,95,Comedia,8.1,94,356.46
581,228,The Handmaiden,Park Chan-wook,2016,145,Drama,8.1,85,2.01
582,228,The Handmaiden,Park Chan-wook,2016,145,Romance,8.1,85,2.01
583,228,The Handmaiden,Park Chan-wook,2016,145,Thriller,8.1,85,2.01
584,229,Rocky,John G. Avildsen,1976,120,Drama,8.1,70,117.24
585,229,Rocky,John G. Avildsen,1976,120,Deportes,8.1,70,117.24
586,230,On the Waterfront,Elia Kazan,1954,108,Crimen,8.1,91,9.6
587,230,On the Waterfront,Elia Kazan,1954,108,Drama,8.1,91,9.6
588,230,On the Waterfront,Elia Kazan,1954,108,Thriller,8.1,91,9.6
589,231,Fargo,Joel Coen,1996,98,Crimen,8.1,86,24.61
590,231,Fargo,Joel Coen,1996,98,Thriller,8.1,86,24.61
591,232,Trainspotting,Danny Boyle,1996,93,Drama,8.1,83,16.5
592,233,The Wizard of Oz,Victor Fleming,1939,102,Aventura,8.1,92,2.08
593,233,The Wizard of Oz,Victor Fleming,1939,102,Familiar,8.1,92,2.08
594,233,The Wizard of Oz,Victor Fleming,1939,102,Fantasía,8.1,92,2.08
"595,234,""Three Billboards Outside Ebbing, Missouri"",Martin McDonagh,2017,115,Comedia,8.1,88,54.51"
"596,234,""Three Billboards Outside Ebbing, Missouri"",Martin McDonagh,2017,115,Crimen,8.1,88,54.51"
"597,234,""Three Billboards Outside Ebbing, Missouri"",Martin McDonagh,2017,115,Drama,8.1,88,54.51"
598,235,Dead Poets Society,Peter Weir,1989,128,Comedia,8.1,79,95.86
599,235,Dead Poets Society,Peter Weir,1989,128,Drama,8.1,79,95.86
600,236,Into the Wild,Sean Penn,2007,148,Aventura,8.1,73,18.35
601,236,Into the Wild,Sean Penn,2007,148,Biografía,8.1,73,18.35
602,236,Into the Wild,Sean Penn,2007,148,Drama,8.1,73,18.35
603,237,The Deer Hunter,Michael Cimino,1978,183,Drama,8.1,86,48.98
604,237,The Deer Hunter,Michael Cimino,1978,183,Guerra,8.1,86,48.98
"605,238,""Monsters, Inc."",Pete Docter,2001,92,Animación,8.1,79,289.92"
"606,238,""Monsters, Inc."",Pete Docter,2001,92,Aventura,8.1,79,289.92"
"607,238,""Monsters, Inc."",Pete Docter,2001,92,Comedia,8.1,79,289.92"
608,239,Memories of Murder,Bong Joon Ho,2003,132,Crimen,8.1,82,0.01
609,239,Memories of Murder,Bong Joon Ho,2003,132,Drama,8.1,82,0.01
610,239,Memories of Murder,Bong Joon Ho,2003,132,Misterio,8.1,82,0.01
611,240,Room,Lenny Abrahamson,2015,118,Drama,8.1,86,14.68
612,240,Room,Lenny Abrahamson,2015,118,Thriller,8.1,86,14.68
613,241,Before Sunrise,Richard Linklater,1995,101,Drama,8.1,77,5.54
614,241,Before Sunrise,Richard Linklater,1995,101,Romance,8.1,77,5.54
615,242,Rush,Ron Howard,2013,123,Acción,8.1,74,26.95
616,242,Rush,Ron Howard,2013,123,Biografía,8.1,74,26.95
617,242,Rush,Ron Howard,2013,123,Drama,8.1,74,26.95
618,243,12 Years a Slave,Steve McQueen,2013,134,Biografía,8.1,96,56.67
619,243,12 Years a Slave,Steve McQueen,2013,134,Drama,8.1,96,56.67
620,243,12 Years a Slave,Steve McQueen,2013,134,Historia,8.1,96,56.67
621,244,Spotlight,Tom McCarthy,2015,129,Biografía,8.1,93,45.06
622,244,Spotlight,Tom McCarthy,2015,129,Crimen,8.1,93,45.06
623,244,Spotlight,Tom McCarthy,2015,129,Drama,8.1,93,45.06
624,245,The Sound of Music,Robert Wise,1965,172,Biografía,8.1,63,163.21
625,245,The Sound of Music,Robert Wise,1965,172,Drama,8.1,63,163.21
626,245,The Sound of Music,Robert Wise,1965,172,Familiar,8.1,63,163.21
627,246,Platoon,Oliver Stone,1986,120,Drama,8.1,92,138.53
628,246,Platoon,Oliver Stone,1986,120,Guerra,8.1,92,138.53
629,247,How to Train Your Dragon,Dean DeBlois,2010,98,Animación,8.1,75,217.58
630,247,How to Train Your Dragon,Dean DeBlois,2010,98,Acción,8.1,75,217.58
631,247,How to Train Your Dragon,Dean DeBlois,2010,98,Aventura,8.1,75,217.58
"632,248,""Lock, Stock and Two Smoking Barrels"",Guy Ritchie,1998,107,Acción,8.1,66,3.9"
"633,248,""Lock, Stock and Two Smoking Barrels"",Guy Ritchie,1998,107,Comedia,8.1,66,3.9"
"634,248,""Lock, Stock and Two Smoking Barrels"",Guy Ritchie,1998,107,Crimen,8.1,66,3.9"
635,249,Warrior,Gavin O'Connor,2011,140,Acción,8.1,71,13.66
636,249,Warrior,Gavin O'Connor,2011,140,Drama,8.1,71,13.66
637,249,Warrior,Gavin O'Connor,2011,140,Deportes,8.1,71,13.66
638,250,Portrait of a Lady on Fire,CÃ©line Sciamma,2019,122,Drama,8.1,95,3.76
639,251,Gran Torino,Clint Eastwood,2008,116,Drama,8.1,72,148.1
640,252,Million Dollar Baby,Clint Eastwood,2004,132,Drama,8.1,86,100.49
641,252,Million Dollar Baby,Clint Eastwood,2004,132,Deportes,8.1,86,100.49
642,253,Barry Lyndon,Stanley Kubrick,1975,185,Aventura,8.1,89,0.0
643,253,Barry Lyndon,Stanley Kubrick,1975,185,Drama,8.1,89,0.0
644,253,Barry Lyndon,Stanley Kubrick,1975,185,Guerra,8.1,89,0.0
645,254,In the Mood for Love,Kar-Wai Wong,2000,98,Drama,8.1,87,2.73
646,254,In the Mood for Love,Kar-Wai Wong,2000,98,Romance,8.1,87,2.73
647,255,La haine,Mathieu Kassovitz,1995,98,Crimen,8.1,0,0.31
648,255,La haine,Mathieu Kassovitz,1995,98,Drama,8.1,0,0.31
649,256,Hachi: A Dog's Tale,Lasse HallstrÃ¶m,2009,93,Biografía,8.1,0,0.0
650,256,Hachi: A Dog's Tale,Lasse HallstrÃ¶m,2009,93,Drama,8.1,0,0.0
651,256,Hachi: A Dog's Tale,Lasse HallstrÃ¶m,2009,93,Familiar,8.1,0,0.0
652,257,My Neighbor Totoro,Hayao Miyazaki,1988,86,Animación,8.1,86,1.11
653,257,My Neighbor Totoro,Hayao Miyazaki,1988,86,Comedia,8.1,86,1.11
654,257,My Neighbor Totoro,Hayao Miyazaki,1988,86,Familiar,8.1,86,1.11
655,258,Raging Bull,Martin Scorsese,1980,129,Biografía,8.1,90,23.38
656,258,Raging Bull,Martin Scorsese,1980,129,Drama,8.1,90,23.38
657,258,Raging Bull,Martin Scorsese,1980,129,Deportes,8.1,90,23.38
658,259,Cool Hand Luke,Stuart Rosenberg,1967,127,Crimen,8.1,92,16.22
659,259,Cool Hand Luke,Stuart Rosenberg,1967,127,Drama,8.1,92,16.22
660,260,The Iron Giant,Brad Bird,1999,86,Animación,8.1,85,23.16
661,260,The Iron Giant,Brad Bird,1999,86,Acción,8.1,85,23.16
662,260,The Iron Giant,Brad Bird,1999,86,Aventura,8.1,85,23.16
663,261,Wild Tales,DamiÃ¡n Szifron,2014,122,Comedia,8.1,77,3.11
664,261,Wild Tales,DamiÃ¡n Szifron,2014,122,Drama,8.1,77,3.11
665,261,Wild Tales,DamiÃ¡n Szifron,2014,122,Thriller,8.1,77,3.11
666,262,Before Sunset,Richard Linklater,2004,80,Drama,8.1,91,5.82
667,262,Before Sunset,Richard Linklater,2004,80,Romance,8.1,91,5.82
